ItemID,SortID,SourceType,Name,Desc,AnimationMaleID,AnimationFemaleID,PropID,PropIDLeft,PropIDRight,PropIDHead,result_random,InGameIcon,VFXMaleIngame,VFXMaleSystem,VFXFemaleIngame,VFXFemaleSystem,IsLeadEmote,IsLeadEmoteIngame,HideClothEffectSlots,SFXResourceId
物品ID,序列ID,来源:0默认;1角色解锁;2活动;3排位赛;4商城;5EP;6转蛋;7电竞;8线下活动;9其他,Emote名字,Emote物品描述,男性动画资源ID,女性动画资源ID,道具ID,左手道具id,右手道具id,头部道具id,PC观战随机播放emote,游戏内神秘墙icon(名字不同于emote),男性动画局内特效,男性动画系统特效,女性动画局内特效,女性动画系统特效,是否是领舞EMOTE,是否局内领舞,Emote播放时屏蔽该部位的服装特效（局内）,Emote音效资源
909000001,1,4,TXT_OB11_JRW_EMOTE_HELLO_NAME,TXT_OB11_JRW_EMOTE_HELLO_DESC,INGAME_ANIMATION_EMOTE_MALE_HELLO,INGAME_ANIMATION_EMOTE_FEMALE_HELLO,,,,,,,,,,,,,,
909000002,1,5,TXT_OB11_JRW_EMOTE_LOL_NAME,TXT_OB11_JRW_EMOTE_LOL_DESC,INGAME_ANIMATION_EMOTE_MALE_LOL,INGAME_ANIMATION_EMOTE_FEMALE_LOL,,,,,,,,,,,,,,
909000003,1,2,TXT_OB11_JRW_EMOTE_PROVOKE_NAME,TXT_OB11_JRW_EMOTE_PROVOKE_DESC,INGAME_ANIMATION_EMOTE_MALE_PROVOKE,INGAME_ANIMATION_EMOTE_FEMALE_PROVOKE,,,,,,,,,,,,,,
909000004,1,4,TXT_OB11_JRW_EMOTE_CLAP_NAME,TXT_OB11_JRW_EMOTE_CLAP_DESC,INGAME_ANIMATION_EMOTE_MALE_CLAP,INGAME_ANIMATION_EMOTE_FEMALE_CLAP,,,,,,,,,,,,,,
909000005,1,6,TXT_OB11_JRW_EMOTE_DAB_NAME,TXT_OB11_JRW_EMOTE_DAB_DESC,INGAME_ANIMATION_EMOTE_MALE_DAB,INGAME_ANIMATION_EMOTE_FEMALE_DAB,,,,,,,,,,,,,,
909000006,1,5,TXT_OB11_JRW_EMOTE_FUNKYCHICKEN_NAME,TXT_OB11_JRW_EMOTE_FUNKYCHICKEN_DESC,INGAME_ANIMATION_EMOTE_MALE_FUNKY_CHICKEN,INGAME_ANIMATION_EMOTE_FEMALE_FUNKY_CHICKEN,,,,,,,,,,,,,,
909000007,1,9,T_12_R_EMOTE_WAVE_NAME,T_12_R_EMOTE_WAVE_DESC,INGAME_ANIMATION_EMOTE_MALE_WAVE,INGAME_ANIMATION_EMOTE_FEMALE_WAVE,,,,,,,,,,,,,,
909000008,1,9,T_12_R_EMOTE_SHOOTDANCE_NAME,T_12_R_EMOTE_SHOOTDANCE_DESC,INGAME_ANIMATION_EMOTE_MALE_SHOOTDANCE,INGAME_ANIMATION_EMOTE_FEMALE_SHOOTDANCE,,,,,,,,,,,,,,
909000009,1,9,T_13_R_EMOTE_BABYSHARK_NAME,T_13_R_EMOTE_BABYSHARK_DESC,INGAME_ANIMATION_EMOTE_MALE_BABYSHARK,INGAME_ANIMATION_EMOTE_FEMALE_BABYSHARK,,,,,,,,,,,,,,
909000010,1,9,T_13_R_EMOTE_VALENTINE_NAME,T_13_R_EMOTE_VALENTINE_DESC,INGAME_ANIMATION_EMOTE_MALE_VALENTINE,INGAME_ANIMATION_EMOTE_FEMALE_VALENTINE,,PROP_REDROSE,,,,,,,,,,,,
909000011,1,9,T_13_R_EMOTE_EGYPT_NAME,T_13_R_EMOTE_EGYPT_DESC,INGAME_ANIMATION_EMOTE_MALE_EGYPT,INGAME_ANIMATION_EMOTE_FEMALE_EGYPT,,,,,,,,,,,,,,
909000012,1,9,T_13_R_EMOTE_BOMBSQUAD_NAME,T_13_R_EMOTE_BOMBSQUAD_DESC,INGAME_ANIMATION_EMOTE_MALE_BOMBSQUAD,INGAME_ANIMATION_EMOTE_FEMALE_BOMBSQUAD,,,,,,,,,,,,,,
909000013,1,9,T_14_R_EMOTE_SHUFFLE_NAME,T_14_R_EMOTE_SHUFFLE_DESC,INGAME_ANIMATION_EMOTE_MALE_SHUFFLE,INGAME_ANIMATION_EMOTE_FEMALE_SHUFFLE,,,,,,,,,,,,,,
909000014,1,9,T_14_R_EMOTE_GW_NAME,T_14_R_EMOTE_GW_DESC,INGAME_ANIMATION_EMOTE_MALE_GW,INGAME_ANIMATION_EMOTE_FEMALE_GW,,,,,,,,,,,,,,
909000015,1,9,T_14_R_EMOTE_DRAGONS_NAME,T_14_R_EMOTE_DRAGONS_DESC,INGAME_ANIMATION_EMOTE_MALE_DRAGONS,INGAME_ANIMATION_EMOTE_FEMALE_DRAGONS,,,,,,,,,,,,,,
909000016,1,9,T_14_R_EMOTE_PVEZOMBIE_NAME,T_14_R_EMOTE_PVEZOMBIE_DESC,INGAME_ANIMATION_EMOTE_MALE_PVEZOMBIE,INGAME_ANIMATION_EMOTE_FEMALE_PVEZOMBIE,,,,,,,,,,,,,,
909000017,1,9,T_14_R_EMOTE_JAGUAR_NAME,T_14_R_EMOTE_JAGUAR_DESC,INGAME_ANIMATION_EMOTE_MALE_JAGUAR,INGAME_ANIMATION_EMOTE_FEMALE_JAGUAR,,,,,,,,,,,,,,
909000018,1,9,T_15_R_EMOTE_CUTTHROAT_NAME,T_15_R_EMOTE_CUTTHROAT_DESC,INGAME_ANIMATION_EMOTE_MALE_CUTTHROAT,INGAME_ANIMATION_EMOTE_FEMALE_CUTTHROAT,,,,,,,,,,,,,,
909000019,1,9,T_15_R_EMOTE_LETSGROOVE_NAME,T_15_R_EMOTE_LETSGROOVE_DESC,INGAME_ANIMATION_EMOTE_MALE_LETSGROOVE,INGAME_ANIMATION_EMOTE_FEMALE_LETSGROOVE,,,,,,,,,,,,,,
909000020,1,9,T_15_R_EMOTE_APOCALYPSE_NAME,T_15_R_EMOTE_APOCALYPSE_DESC,INGAME_ANIMATION_EMOTE_MALE_APOCALYPSE,INGAME_ANIMATION_EMOTE_FEMALE_APOCALYPSE,,,,,,,,,,,,,,
909000021,1,9,T_16_R_EMOTE_DESERT_NAME,T_16_R_EMOTE_DESERT_DESC,INGAME_ANIMATION_EMOTE_MALE_DESERT,INGAME_ANIMATION_EMOTE_FEMALE_DESERT,,,,,,,,,,,,,,
909000022,1,9,T_16_R_EMOTE_KICKTHEMOON_NAME,T_16_R_EMOTE_KICKTHEMOON_DESC,INGAME_ANIMATION_EMOTE_MALE_KICKTHEMOON,INGAME_ANIMATION_EMOTE_FEMALE_KICKTHEMOON,,,,,,,,,,,,,,
909000023,1,9,T_16_R_EMOTE_WIGGLEWALK_NAME,T_16_R_EMOTE_WIGGLEWALK_DESC,INGAME_ANIMATION_EMOTE_MALE_WIGGLEWALK,INGAME_ANIMATION_EMOTE_FEMALE_WIGGLEWALK,,,,,,,,,,,,,,
909000024,1,9,T_16_R_EMOTE_EPHUNTER_NAME,T_16_R_EMOTE_EPHUNTER_DESC,INGAME_ANIMATION_EMOTE_MALE_EPHUNTER,INGAME_ANIMATION_EMOTE_FEMALE_EPHUNTER,,,,,,,,,,,,,,
909000025,1,9,T_16_R_EMOTE_EPHUNTER2_NAME,T_16_R_EMOTE_EPHUNTER2_DESC,INGAME_ANIMATION_EMOTE_MALE_EPHUNTER2,INGAME_ANIMATION_EMOTE_FEMALE_EPHUNTER2,,,,,,,,,,,,,,
909000026,1,9,T_17_R_EMOTE_BOOM_NAME,T_17_R_EMOTE_BOOM_DESC,INGAME_ANIMATION_EMOTE_MALE_BOOM,INGAME_ANIMATION_EMOTE_FEMALE_BOOM,,,,,,,,,,,,,,
909000027,1,9,T_17_R_EMOTE_SPLITS_NAME,T_17_R_EMOTE_SPLITS_DESC,INGAME_ANIMATION_EMOTE_MALE_SPLITS,INGAME_ANIMATION_EMOTE_FEMALE_SPLITS,,,,,,,,,,,,,,
909000028,1,9,T_17_R_EMOTE_CRANEKICK_NAME,T_17_R_EMOTE_CRANEKICK_DESC,INGAME_ANIMATION_EMOTE_MALE_CRANEKICK,INGAME_ANIMATION_EMOTE_FEMALE_CRANEKICK,,,,,,,,,,,,,,
909000029,1,9,T_17_R_EMOTE_PARTYDANCE_NAME,T_17_R_EMOTE_PARTYDANCE_DESC,INGAME_ANIMATION_EMOTE_MALE_PARTYDANCE,INGAME_ANIMATION_EMOTE_FEMALE_PARTYDANCE,,,,,,,,,,,,,,
909000031,1,5,T_18_R_EMOTE_PIRATEJIG_NAME,T_18_R_EMOTE_PIRATEJIG_DESC,INGAME_ANIMATION_EMOTE_MALE_PIRATEJIG,INGAME_ANIMATION_EMOTE_FEMALE_PIRATEJIG,,,,,,,,,,,,,,
909000032,1,9,T_18_R_EMOTE_SELFIE_NAME,T_18_R_EMOTE_SELFIE_DESC,INGAME_ANIMATION_EMOTE_MALE_SELFIE,INGAME_ANIMATION_EMOTE_FEMALE_SELFIE,,,PROP_CELLPHONE,,,,,,,,,,,
