id,name,desc,PreviewWeaponModel,PreviewWeaponDisplay,icon,showimage,model,modelFemale,pickup,PickupSound,type,level,inbagornot,stack,capacity,refid,AvatarRefId,candrop,instantuse,CountLimitInBag,ItemScore
物品id,物品名称,描述索引,武器库的预览模型,武器库的tab是否出现,icon索引,展示图索引,Prefab资源索引,Prefab资源索引,PickUp Prefab资源索,拾取音效SoundID（仅MAX版 SOUND_ACTION_PICKUP_WEAPON为武器拾取 SOUND_ACTION_PICKUP_AMMO为弹药拾取 SOUND_ACTION_PICKUP_GAMEITEM为gameplay道具拾取 SOUND_ACTION_PICKUP_ITEM为糖果等拾取）,物品类型,品质,是否会存入背包,堆叠上限,占用空间,武器表索引id/消耗品索引id/部件索引id,AvatarId索引id,是否能扔,捡起是否立即使用,限制背包中数量,物品分数
1,TXT_ITEM_FIST,TXT_ITEM_FIST,,1,,Icon_slot_FIST,INGAME_WEAPON_KNIFE,INGAME_WEAPON_KNIFE,INGAME_WEAPON_KNIFE,,0,1,0,1,0,1,0,1,0,0,
2,TXT_ITEM_M4A1,T_32_U_M4A1_DESC,Preview_M4A1,1,Icon_weapon_M4A1,Icon_slot_M4A1,INGAME_WEAPON_M4A1,INGAME_WEAPON_M4A1,INGAME_PICKUP_M4A1,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,2,201,1,0,0,0
3,TXT_ITEM_USP,TXT_ITEM_DESC_USP,Preview_USP45,1,Icon_weapon_USP,Icon_slot_USP,INGAME_WEAPON_HANDGUN,INGAME_WEAPON_HANDGUN,INGAME_PICKUP_USP,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,3,200,1,0,0,0
4,TXT_ITEM_AWM,TXT_ITEM_DESC_AWM,Preview_AWM,1,Icon_weapon_AWM,Icon_slot_AWM,INGAME_WEAPON_AWM,INGAME_WEAPON_AWM,INGAME_PICKUP_AWM,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,4,202,1,0,0,3
5,TXT_ITEM_M1014,TXT_ITEM_DESC_M1014,Preview_M1014,1,Icon_weapon_M1014,Icon_slot_M1014,INGAME_WEAPON_M1014,INGAME_WEAPON_M1014,INGAME_PICKUP_M1014,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,5,203,1,0,0,0
6,TXT_ITEM_AK,TXT_ITEM_DESC_AK,Preview_AK47,1,Icon_weapon_AK,Icon_slot_AK,INGAME_WEAPON_AK47,INGAME_WEAPON_AK47,INGAME_PICKUP_AK47,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,6,204,1,0,0,0
7,TXT_ITEM_UMP,TXT_ITEM_DESC_UMP,Preview_UMP45,1,Icon_weapon_UMP,Icon_slot_UMP,INGAME_WEAPON_UMP45,INGAME_WEAPON_UMP45,INGAME_PICKUP_UMP,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,7,205,1,0,0,0
8,TXT_ITEM_MP5,T_32_U_MP5_DESC,Preview_MP5,1,Icon_weapon_MP5,Icon_slot_MP5,INGAME_WEAPON_MP5,INGAME_WEAPON_MP5,INGAME_PICKUP_MP5,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,8,206,1,0,0,0
9,TXT_ITEM_EAGLE,TXT_ITEM_DESC_EAGLE,Preview_Eagle,1,Icon_weapon_DE,Icon_slot_DE,INGAME_WEAPON_EAGLE,INGAME_WEAPON_EAGLE,INGAME_PICKUP_EAGLE,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,9,207,1,0,0,0
